county,model,mae_change,mase,dir_acc,mae_price,smape
Kiambu,pooled_xgboost,4.715184911092123,0.7359345851831625,0.5,4.715184911092123,10.649927175235067
Kirinyaga,pooled_xgboost,1.6046663253647935,0.25045241465221857,0.75,1.6046663253647935,3.6270049194167577
Nairobi,pooled_xgboost,2.840659885277526,0.4433632813424402,0.75,2.840659885277526,6.057581643264659
Uasin-Gishu,pooled_xgboost,1.9853861465553453,0.3098742377539515,0.6875,1.9853861465553453,4.50928060162414
Kiambu,fine_tuned_xgboost,4.715184911092123,0.7359345851831625,0.5,4.715184911092123,10.649927175235067
Kirinyaga,fine_tuned_xgboost,1.6046663253647935,0.25045241465221857,0.75,1.6046663253647935,3.6270049194167577
Nairobi,fine_tuned_xgboost,2.840659885277526,0.4433632813424402,0.75,2.840659885277526,6.057581643264659
Uasin-Gishu,fine_tuned_xgboost,1.9853861465553453,0.3098742377539515,0.6875,1.9853861465553453,4.50928060162414
Kiambu,pooled_xgboost,3.1013941319783527,0.4886809050231194,1.0,3.1013941319783527,7.993396142134775
Kirinyaga,pooled_xgboost,2.092879288720433,0.32977109693041173,0.7368421052631579,2.092879288720433,6.214544558068121
Mombasa,pooled_xgboost,1.893462248065255,0.298349324734615,0.625,1.893462248065255,5.176094151336945
Nairobi,pooled_xgboost,2.4065756879602094,0.379199655107634,0.7368421052631579,2.4065756879602094,6.436953656821173
Uasin-Gishu,pooled_xgboost,3.854325792108973,0.6073189463153699,0.9375,3.854325792108973,10.126005107896422
Kiambu,fine_tuned_xgboost,3.1013941319783527,0.4886809050231194,1.0,3.1013941319783527,7.993396142134775
Kirinyaga,fine_tuned_xgboost,2.092879288720433,0.32977109693041173,0.7368421052631579,2.092879288720433,6.214544558068121
Mombasa,fine_tuned_xgboost,1.893462248065255,0.298349324734615,0.625,1.893462248065255,5.176094151336945
Nairobi,fine_tuned_xgboost,2.4065756879602094,0.379199655107634,0.7368421052631579,2.4065756879602094,6.436953656821173
Uasin-Gishu,fine_tuned_xgboost,3.854325792108973,0.6073189463153699,0.9375,3.854325792108973,10.126005107896422
Kiambu,pooled_xgboost,1.631557105084261,0.250881123510219,0.8333333333333334,1.631557105084261,4.1887781778671895
Kirinyaga,pooled_xgboost,1.0933974624261433,0.16812944086472936,0.8461538461538461,1.0933974624261433,3.1742304315568863
Nairobi,pooled_xgboost,2.391928143835904,0.36780178775922956,0.8947368421052632,2.391928143835904,6.3359470719726
Uasin-Gishu,pooled_xgboost,2.8579353514644827,0.4394587413830991,0.75,2.8579353514644827,7.720440838760428
Kiambu,fine_tuned_xgboost,1.631557105084261,0.250881123510219,0.8333333333333334,1.631557105084261,4.1887781778671895
Kirinyaga,fine_tuned_xgboost,1.0933974624261433,0.16812944086472936,0.8461538461538461,1.0933974624261433,3.1742304315568863
Nairobi,fine_tuned_xgboost,2.391928143835904,0.36780178775922956,0.8947368421052632,2.391928143835904,6.3359470719726
Uasin-Gishu,fine_tuned_xgboost,2.8579353514644827,0.4394587413830991,0.75,2.8579353514644827,7.720440838760428
Kiambu,pooled_xgboost,0.6516377921274739,0.09877279237206618,0.5714285714285714,0.6516377921274739,1.557590143367749
Uasin-Gishu,pooled_xgboost,0.9445863210445011,0.14317682260480535,0.7,0.9445863210445011,2.1645639466522084
Kiambu,fine_tuned_xgboost,0.6516377921274739,0.09877279237206618,0.5714285714285714,0.6516377921274739,1.557590143367749
Uasin-Gishu,fine_tuned_xgboost,0.9445863210445011,0.14317682260480535,0.7,0.9445863210445011,2.1645639466522084
Kiambu,pooled_xgboost,0.628336520505802,0.09815537520307363,1.0,0.628336520505802,1.4873301788590203
Kirinyaga,pooled_xgboost,1.246053298944299,0.19465179102187163,0.7692307692307693,1.246053298944299,2.6900171675031075
Nairobi,pooled_xgboost,2.094938935814503,0.3272601712007309,0.5882352941176471,2.094938935814503,4.172256983498985
Uasin-Gishu,pooled_xgboost,1.2242308004759748,0.191242796868066,0.6666666666666666,1.2242308004759748,2.708202711428505
Kiambu,fine_tuned_xgboost,0.628336520505802,0.09815537520307363,1.0,0.628336520505802,1.4873301788590203
Kirinyaga,fine_tuned_xgboost,1.246053298944299,0.19465179102187163,0.7692307692307693,1.246053298944299,2.6900171675031075
Nairobi,fine_tuned_xgboost,2.094938935814503,0.3272601712007309,0.5882352941176471,2.094938935814503,4.172256983498985
Uasin-Gishu,fine_tuned_xgboost,1.2242308004759748,0.191242796868066,0.6666666666666666,1.2242308004759748,2.708202711428505
Kiambu,persistence,1.4833333333333343,0.6666666666666666,0.0,1.4833333333333343,3.1979993369443593
Kirinyaga,persistence,2.374404761904761,0.6440781959589914,0.0,2.374404761904761,5.377147770589681
Nairobi,persistence,4.474502923976609,0.5188906437437081,0.0,4.474502923976609,9.13366108509348
Uasin-Gishu,persistence,2.0049999999999994,0.6622018348623849,0.0,2.0049999999999994,4.508833922165821
Kiambu,persistence,4.809999999999998,0.5978868862647608,0.0,4.809999999999998,12.430825492136195
Kirinyaga,persistence,2.673655158730158,0.5551478580329746,0.0,2.673655158730158,7.59942249940693
Mombasa,persistence,1.4631818181818175,0.7988980716253444,0.0,1.4631818181818175,4.21251300095715
Nairobi,persistence,5.0882570207570215,0.509133698352898,0.0,5.0882570207570215,13.093108986774988
